"V3";"2012-04-05";"2012-04-10";"Osterferien"
"V4";"2012-05-26";"2012-05-29";"Pfingstferien"
"V5";"2012-08-01";"2012-09-30";"Sommerferien"
"V6";"2012-12-23";"2013-01-06";"Weihnachtsferien"
