# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20121012,zeus,0,0,0,0,0,0,0,0
20121012,x3,0,3,0,3,3,0,0,0
20121012,Motorola XOOM (wifi_hubble),0,2,0,2,2,0,0,0
20121012,wetab,0,0,0,2,0,0,0,0
20121012,HTC Incredible 2 (vivow),0,1,0,0,0,0,0,0
20121012,HTC Incredible S (vivo),0,8,0,19,8,0,0,0
20121012,HTC G2 (vision),1,24,1,44,23,1,1,0
20121012,villec2,0,1,0,2,1,0,0,0
20121012,HTC One S (ville),0,25,0,32,25,0,0,0
20121012,victor,0,2,0,3,2,0,0,0
20121012,v350,0,0,0,1,0,0,0,0
20121012,unknown,0,0,0,244,0,0,0,0
20121012,univa_open-de,0,1,0,2,1,0,0,0
20121012,univa_222-01,0,0,0,1,0,0,0,0
20121012,Motorola Droid RAZR (umts_spyder),2,12,2,15,12,0,0,0
20121012,Motorola Droid (umts_sholes),0,1,0,16,1,0,0,0
20121012,Motorola Flipout (umts_ruth),1,3,1,6,3,0,0,0
20121012,Motorola Milestone2 (umts_milestone2),0,2,0,5,2,0,0,0
20121012,Motorola Defy (umts_jordan),0,39,0,79,38,0,0,0
20121012,Motorola XOOM (umts_everest),0,2,0,2,2,0,0,0
20121012,u8800,0,0,0,1,0,0,0,0
20121012,u8220,0,0,0,1,0,0,0,0
20121012,u0,0,1,0,1,1,0,0,0
20121012,Toshiba AT100 (tostab03),0,0,0,1,0,0,0,0
20121012,LG Optimus One (thunderg),0,5,0,14,4,0,0,0
20121012,tenderloin,0,4,0,3,3,0,0,0
20121012,LG Swift (swift),0,1,0,4,1,0,0,0
20121012,LG Optimus 2X (su660),0,1,0,1,1,0,0,0
20121012,Dell Streak 7 (streak7),0,0,0,1,0,0,0,0
20121012,Dell Streak (streak),0,0,0,1,0,0,0,0
20121012,skate,0,1,0,2,1,0,0,0
20121012,HTC Shooter (shooteru),0,11,0,19,11,0,0,0
20121012,Motorola Motoroi (sholest),0,1,0,1,1,0,0,0
20121012,HTC myTouch 3G (sapphire),0,3,0,3,2,0,0,0
20121012,HTC Desire S (saga),1,63,1,112,63,0,0,0
20121012,HTC Sensation XL (runnymede),0,3,0,3,3,0,0,0
20121012,rk29sdk,0,1,0,2,1,0,0,0
20121012,qsd8k_s7,0,0,0,0,0,0,0,0
20121012,HTC Sensation 4G (pyramid),0,53,0,105,51,0,0,0
20121012,primou,0,6,0,8,6,0,0,0
20121012,HTC Explorer (pico),0,1,0,2,1,0,0,0
20121012,picasso_mf,0,1,0,1,1,0,0,0
20121012,picasso_m,0,0,0,1,0,0,0,0
20121012,picasso_e,0,2,0,2,2,0,0,0
20121012,Acer Picasso (picasso),0,5,0,7,4,0,0,0
20121012,LG Pecan (pecan),0,0,0,3,0,0,0,0
20121012,HTC Nexus One (passion),1,9,1,30,7,0,0,0
20121012,p990_EUR-xx,0,0,0,1,0,0,0,0
20121012,p990_262-xx,0,0,0,3,0,0,0,0
20121012,p990_262-02,0,2,0,4,2,0,0,0
20121012,LG Optimus 2X (p990),0,17,0,24,16,0,0,0
20121012,p920,0,1,0,1,1,0,0,0
20121012,p5,0,0,0,1,0,0,0,0
20121012,p4wifi,0,1,0,0,0,0,0,0
20121012,p4notewifiww,0,3,0,2,2,0,0,0
20121012,p4noterf,0,1,0,1,1,0,0,0
20121012,p4,0,0,0,1,0,0,0,0
20121012,Samsung Galaxy Tab 10.1 (p3),0,1,0,1,1,0,0,0
20121012,LG P2 (p2),0,1,0,1,1,0,0,0
20121012,one_touch_995_gsm,0,1,0,1,1,0,0,0
20121012,Motorola Atrix (olympus),0,1,0,1,1,0,0,0
20121012,Sony Tablet S (nbx03),0,4,0,9,4,0,0,0
20121012,msm7230,0,1,0,1,1,0,0,0
20121012,msm7201a,0,1,0,0,0,0,0,0
20121012,ZTE Racer (mooncake),0,0,0,1,0,0,0,0
20121012,mione_plus,0,1,0,2,1,0,0,0
20121012,SEMC Xperia X10 Mini Pro (mimmi),0,1,0,1,1,0,0,0
20121012,milestone2,0,1,0,1,1,0,0,0
20121012,mercury,0,0,0,1,0,0,0,0
20121012,maya,0,0,0,1,0,0,0,0
20121012,HTC Wildfire S (marvel),0,13,0,59,12,0,0,0
20121012,Samsung Galaxy Nexus (maguro),2,62,2,90,58,0,0,0
20121012,m801,0,3,0,4,3,0,0,0
20121012,m4,0,1,0,2,1,0,0,0
20121012,m3,0,2,0,2,2,0,0,0
20121012,Samsung Galaxy S3 (m0),0,73,0,95,70,0,0,0
20121012,HTC Aria (liberty),0,0,0,2,0,0,0,0
20121012,LG Optimus Black (lgp970),0,10,0,14,10,0,0,0
20121012,leo,0,3,0,5,2,0,0,0
20121012,HTC Legend (legend),0,4,0,12,4,0,0,0
20121012,Motorola Defy (jordan),0,1,0,2,1,0,0,0
20121012,hwu8860,0,0,0,3,0,0,0,0
20121012,hwu8800Pro,0,0,0,1,0,0,0,0
20121012,hwu8655,0,1,0,3,1,0,0,0
20121012,Huawei U8650 (hwu8650),0,2,0,2,2,0,0,0
20121012,Huawei U8510 (hwu8510),0,7,0,18,6,0,0,0
20121012,Huawei V858 (hwu8160),0,1,0,2,1,0,0,0
20121012,hws7300u,0,0,0,1,0,0,0,0
20121012,HTC Hero  (hero),0,1,0,7,1,0,0,0
20121012,harmony,0,0,0,1,0,0,0,0
20121012,hallon,0,1,0,1,1,0,0,0
20121012,Asus Nexus 7 (grouper),0,9,0,10,8,0,0,0
20121012,golfu,0,1,0,1,1,0,0,0
20121012,gelato_262-xx,0,1,0,1,1,0,0,0
20121012,galaxysmtd,0,0,0,6,0,0,0,0
20121012,galaxys2,0,0,0,10,0,0,0,0
20121012,HTC Flyer (flyer),0,3,0,7,3,0,0,0
20121012,espresso10wifi,0,1,0,2,1,0,0,0
20121012,es209ra,0,0,0,1,0,0,0,0
20121012,HTC One X (endeavoru),0,10,0,17,10,1,1,0
20121012,e1000_gq1a,0,0,0,1,0,0,0,0
20121012,e0,0,1,0,3,1,0,0,0
20121012,HTC G1  (dream),0,0,0,1,0,0,0,0
20121012,disco10,0,0,0,1,0,0,0,0
20121012,Samsung Nexus S (crespo),0,27,0,53,27,1,1,0
20121012,crane-evb-v13,0,2,0,2,2,0,0,0
20121012,cosmo_EUR-XXX,0,1,0,1,1,0,0,0
20121012,cooper,0,1,0,4,1,0,0,0
20121012,choi,0,1,0,1,1,0,0,0
20121012,HTC Chacha (chacha),0,0,0,3,0,0,0,0
20121012,HTC Wildfire (buzz),0,19,0,40,19,0,0,0
20121012,HTC Desire (bravo),1,43,1,133,41,0,0,0
20121012,bproj_EUR-XXX,0,1,0,1,1,0,0,0
20121012,bproj_262-XXX,0,1,0,6,1,0,0,0
20121012,bproj_262-02,0,1,0,3,1,0,0,0
20121012,HTC Bliss (bliss),0,1,0,1,1,0,0,0
20121012,ZTE Blade (blade),0,2,0,15,2,0,0,0
20121012,HTC Tattoo (bahamas),0,0,0,1,0,0,0,0
20121012,arthur,0,0,0,1,0,0,0,0
20121012,ariesve,0,2,0,3,2,0,0,0
20121012,aries,0,0,0,1,0,0,0,0
20121012,alessi,0,1,0,1,1,0,0,0
20121012,HTC Desire HD (ace),1,61,1,121,57,0,0,0
20121012,Garmin-Asus Nuvifone (a50),0,0,0,1,0,0,0,0
20121012,a3,0,1,0,1,1,0,0,0
20121012,Acer Liquid (a1),0,1,0,2,1,0,0,0
20121012,YP-GS1,0,1,0,1,1,0,0,0
20121012,Samsung Galaxy Player (YP-G1),0,0,0,1,0,0,0,0
20121012,XT615,0,1,0,1,1,0,0,0
20121012,XT502,0,0,0,1,0,0,0,0
20121012,SEMC Xperia X10 (X10i),0,8,0,17,8,0,0,0
20121012,SEMC Xperia Live (WT19i),0,1,0,1,1,0,0,0
20121012,W851,0,1,0,1,1,0,0,0
20121012,SEMC Xperia X10 Mini Pro (U20i),0,7,0,26,7,0,0,0
20121012,TF700T,0,2,0,3,2,0,0,0
20121012,Asus EeePad Transformer TF300 (TF300TG),0,2,0,2,2,0,0,0
20121012,Asus EeePad Transformer TF300 (TF300T),0,3,0,4,3,0,0,0
20121012,Asus EeePad Transformer TF201 (TF201),0,5,0,9,4,0,0,0
20121012,Asus EeePad Transformer TF101 (TF101G),0,2,0,1,1,0,0,0
