# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120227,China Mobile,0,3,0,4,3,0,0,0
20120227,Bouygues Telecom,0,1,0,1,1,0,0,0
20120227,Bell Mobility,0,0,0,1,0,0,0,0
20120227,BCP,0,0,0,1,0,0,0,0
20120227,Android Emulator,0,0,0,2,0,0,0,0
20120227,Aircel Ltd.,0,0,0,1,0,0,0,0
20120227,AT&T,0,0,0,1,0,0,0,0
20120226,unknown,0,0,0,4,0,0,0,0
20120226,o2,0,385,0,706,373,0,0,0
20120226,Xfera,0,0,0,1,0,0,0,0
20120226,Wind,0,1,0,1,1,0,0,0
20120226,Vodafone - RO,0,0,0,1,0,0,0,0
20120226,Vodafone - CH,0,1,0,14,1,0,0,0
20120226,Vodafone - AU,0,0,0,1,0,0,0,0
20120226,Vodafone - AT,0,1,0,4,1,0,0,0
20120226,Vodafone,1,141,1,230,135,1,1,0
20120226,UNKNOWN,1,177,0,379,167,1,1,0
20120226,Telstra,0,1,0,1,1,0,0,0
20120226,Telems Cel,0,0,0,1,0,0,0,0
20120226,Telekom,1,186,1,297,178,0,0,0
20120226,Telecom Italia Mobile (TIM),0,1,0,2,1,0,0,0
20120226,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120226,TDC Switzerland AG,0,1,0,5,1,0,0,0
20120226,T-Mobile - US,0,0,0,2,0,0,0,0
20120226,T-Mobile - PL,0,0,0,1,0,0,0,0
20120226,T-Mobile - MK,0,1,0,1,1,0,0,0
20120226,T-Mobile - AT,0,0,0,2,0,0,0,0
20120226,T-Mobile,0,0,0,1,0,0,0,0
20120226,Singtel,0,1,0,2,1,0,0,0
20120226,Saudi Telecom,0,1,0,1,1,0,0,0
20120226,SK Telecom,0,1,0,1,1,0,0,0
20120226,SI Mobil,0,0,0,1,0,0,0,0
20120226,Rogers Wireless,0,1,0,1,1,0,0,0
20120226,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120226,Pannon GSM,0,0,0,1,0,0,0,0
20120226,Otecel S.A. - Bellsouth,0,0,0,1,0,0,0,0
20120226,Orange Communications SA,0,1,0,2,1,1,1,0
20120226,Orange,0,3,0,4,2,0,0,0
20120226,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120226,NTT DOCOMO,0,1,0,1,1,0,0,0
20120226,Movistar,0,0,0,1,0,0,0,0
20120226,MobileOne,0,0,0,2,0,0,0,0
20120226,Mobile Telesystems,0,1,0,1,1,0,0,0
20120226,Mobifone,0,0,0,1,0,0,0,0
20120226,Megafon,0,1,0,1,1,0,0,0
20120226,M-Tel GSM BG,0,1,0,2,1,0,0,0
20120226,KT,0,1,0,1,1,0,0,0
20120226,Hutchison 3G UK Ltd.,0,0,0,2,0,0,0,0
20120226,Hutchison 3G Austria,0,0,0,5,0,0,0,0
20120226,Hutchinson Max Telecom,1,1,1,1,1,0,0,0
20120226,H3G,0,2,0,2,2,0,0,0
20120226,Globul,0,1,0,1,1,0,0,0
20120226,Globe Telecom,0,1,0,1,1,0,0,0
20120226,GSM900/HKCSL,0,1,0,1,1,0,0,0
20120226,E-Plus Mobilfunk GmbH & Co. KG,1,129,1,238,122,0,0,1
20120226,Cosmote,0,0,0,2,0,0,0,0
20120226,China Mobile,0,2,0,3,2,0,0,0
20120226,Bouygues Telecom,0,1,0,1,1,0,0,0
20120226,Bell Mobility,0,0,0,1,0,0,0,0
20120226,BCP,0,0,0,1,0,0,0,0
20120226,Android Emulator,0,0,0,2,0,0,0,0
20120226,Aircel Ltd.,0,0,0,1,0,0,0,0
20120226,AT&T,0,0,0,1,0,0,0,0
20120225,unknown,0,0,0,4,0,0,0,0
20120225,o2,1,381,0,704,369,0,0,0
20120225,Xfera,0,0,0,1,0,0,0,0
20120225,Wind,0,1,0,1,1,0,0,0
20120225,Vodafone - RO,0,0,0,1,0,0,0,0
20120225,Vodafone - CH,0,1,0,14,1,0,0,0
20120225,Vodafone - AU,0,0,0,1,0,0,0,0
20120225,Vodafone - AT,0,1,0,4,1,0,0,0
20120225,Vodafone,0,145,0,235,139,0,0,0
20120225,UNKNOWN,0,175,0,374,167,0,0,1
20120225,Telstra,0,1,0,1,1,0,0,0
20120225,Telems Cel,0,0,0,1,0,0,0,0
20120225,Telekom,1,185,1,297,177,0,0,0
20120225,Telecom Italia Mobile (TIM),0,1,0,2,1,0,0,0
20120225,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120225,TDC Switzerland AG,0,1,0,5,1,0,0,0
20120225,T-Mobile - US,0,0,0,2,0,0,0,0
20120225,T-Mobile - PL,0,0,0,1,0,0,0,0
20120225,T-Mobile - MK,0,1,0,1,1,0,0,0
20120225,T-Mobile - AT,0,0,0,2,0,0,0,0
20120225,T-Mobile,0,0,0,1,0,0,0,0
20120225,Singtel,0,1,0,2,1,0,0,0
20120225,SK Telecom,0,1,0,1,1,0,0,0
20120225,SI Mobil,0,0,0,1,0,0,0,0
20120225,Rogers Wireless,0,1,0,1,1,0,0,0
