# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120228,Android 2.3,0,2,0,1,1,0,0,0
20120228,Android 2.2,0,146,0,351,132,0,0,0
20120228,Android 2.1,0,41,0,105,41,0,0,0
20120228,Android 4.0.3,0,32,0,50,30,0,0,0
20120228,Android 4.0,1,23,0,36,22,0,0,0
20120228,Android 3.2,1,14,1,18,12,0,0,0
20120228,Android 3.1,0,6,0,13,4,0,0,0
20120228,Android 3.0,0,1,0,2,1,0,0,0
20120228,Android 2.3.3+,3,661,3,1177,647,0,0,3
20120228,0,2,122,2,199,113,0,0,1
20120227,Android 2.3,0,2,0,1,1,0,0,0
20120227,Android 2.2,0,146,0,353,133,0,0,0
20120227,Android 2.1,0,41,0,105,41,0,0,0
20120227,Android 4.0.3,0,32,0,50,29,0,0,1
20120227,Android 4.0,0,23,0,36,22,0,0,0
20120227,Android 3.2,1,14,1,18,12,0,0,0
20120227,Android 3.1,0,6,0,13,4,0,0,0
20120227,Android 3.0,0,1,0,2,1,0,0,2
20120227,Android 2.3.3+,2,661,2,1173,647,3,3,3
20120227,0,2,120,1,197,110,1,1,0
20120226,Android 2.3,0,2,0,1,1,0,0,0
20120226,Android 2.2,0,147,0,353,134,0,0,0
20120226,Android 2.1,0,41,0,105,41,0,0,0
20120226,Android 4.0.3,1,32,1,49,29,0,0,0
20120226,Android 4.0,0,23,0,36,22,1,1,0
20120226,Android 3.2,1,14,1,18,12,0,0,0
20120226,Android 3.1,0,6,0,13,4,0,0,0
20120226,Android 3.0,0,1,0,2,1,0,0,0
20120226,Android 2.3.3+,2,662,2,1171,649,1,1,1
20120226,0,1,121,0,197,112,1,1,0
20120225,Android 2.3,0,2,0,1,1,0,0,0
20120225,Android 2.2,0,147,0,354,134,0,0,0
20120225,Android 2.1,0,42,0,105,42,0,0,0
20120225,Android 4.0.3,0,28,0,46,26,0,0,0
20120225,Android 4.0,0,24,0,36,22,0,0,0
20120225,Android 3.2,0,14,0,17,12,0,0,0
20120225,Android 3.1,0,6,0,14,5,0,0,0
20120225,Android 3.0,0,1,0,2,1,0,0,0
20120225,Android 2.3.3+,1,661,1,1169,648,0,0,0
20120225,0,1,122,0,197,114,0,0,1
20120224,Android 2.3,0,2,0,1,1,0,0,0
20120224,Android 2.2,0,147,0,354,134,0,0,1
20120224,Android 2.1,0,42,0,105,42,0,0,0
20120224,Android 4.0.3,0,27,0,46,26,0,0,0
20120224,Android 4.0,1,25,1,36,23,0,0,0
20120224,Android 3.2,1,14,1,18,12,0,0,0
20120224,Android 3.1,0,6,0,14,5,0,0,0
20120224,Android 3.0,0,1,0,2,1,0,0,0
20120224,Android 2.3.3+,5,661,5,1168,647,3,2,6
20120224,0,3,123,2,197,116,2,2,0
20120223,Android 2.3,0,2,0,1,1,0,0,0
20120223,Android 2.2,0,146,0,354,134,0,0,2
20120223,Android 2.1,0,42,0,105,42,0,0,1
20120223,Android 4.0.3,1,23,0,42,22,0,0,0
20120223,Android 4.0,1,24,1,35,22,0,0,0
20120223,Android 3.2,0,14,0,17,12,0,0,0
20120223,Android 3.1,0,6,0,14,5,0,0,0
20120223,Android 3.0,0,1,0,2,1,0,0,0
20120223,Android 2.3.3+,2,659,2,1164,646,2,2,0
20120223,0,1,126,0,198,119,0,0,0
20120222,Android 2.3,0,2,0,1,1,0,0,0
20120222,Android 2.2,0,145,0,354,133,0,0,2
20120222,Android 2.1,0,43,0,105,43,0,0,0
20120222,Android 4.0.3,0,23,0,41,22,0,0,0
20120222,Android 4.0,0,24,0,34,22,0,0,0
20120222,Android 3.2,1,14,1,18,12,0,0,0
20120222,Android 3.1,0,6,0,14,5,0,0,0
20120222,Android 3.0,0,1,0,2,1,0,0,0
20120222,Android 2.3.3+,4,659,2,1162,645,1,1,3
20120222,0,3,126,2,199,119,1,1,0
20120221,Android 2.3,0,2,0,1,1,0,0,0
20120221,Android 2.2,0,148,0,356,136,0,0,0
20120221,Android 2.1,0,43,0,105,43,0,0,0
20120221,Android 4.0.3,0,23,0,41,22,0,0,0
20120221,Android 4.0,1,24,0,33,21,0,0,0
20120221,Android 3.2,1,14,1,18,12,0,0,0
20120221,Android 3.1,1,6,1,14,5,0,0,0
20120221,Android 3.0,0,1,0,2,1,0,0,0
20120221,Android 2.3.3+,2,657,1,1159,644,1,1,3
20120221,0,1,127,0,197,120,0,0,0
20120220,Android 2.3,0,2,0,1,1,0,0,0
20120220,Android 2.2,2,147,1,356,135,2,2,0
20120220,Android 2.1,0,43,0,105,43,0,0,0
20120220,Android 4.0.3,0,23,0,41,22,0,0,0
20120220,Android 4.0,1,24,1,32,20,0,0,0
20120220,Android 3.2,0,14,0,17,12,0,0,0
20120220,Android 3.1,1,6,1,14,5,0,0,0
20120220,Android 3.0,0,1,0,2,1,0,0,0
20120220,Android 2.3.3+,3,658,2,1159,646,1,1,1
20120220,0,2,127,1,197,120,1,1,0
20120219,Android 2.3,0,2,0,1,1,0,0,0
20120219,Android 2.2,1,146,0,354,134,0,0,1
20120219,Android 2.1,0,43,0,106,43,0,0,1
20120219,Android 4.0.3,0,23,0,41,22,0,0,1
20120219,Android 4.0,2,23,1,31,19,1,0,0
20120219,Android 3.2,0,14,0,18,12,0,0,0
20120219,Android 3.1,0,6,0,14,5,0,0,0
20120219,Android 3.0,0,1,0,2,1,0,0,0
20120219,Android 2.3.3+,1,659,1,1158,647,0,0,2
20120219,0,1,126,0,195,119,0,0,0
20120218,Android 2.3,0,2,0,1,1,0,0,0
20120218,Android 2.2,1,147,1,354,135,1,1,1
20120218,Android 2.1,0,41,0,106,41,0,0,0
20120218,Android 4.0.3,0,23,0,41,22,0,0,0
20120218,Android 4.0,0,22,0,30,18,0,0,0
20120218,Android 3.2,0,14,0,18,12,0,0,0
20120218,Android 3.1,0,6,0,14,5,0,0,0
20120218,Android 3.0,0,1,0,2,1,0,0,0
20120218,Android 2.3.3+,3,659,3,1158,647,1,1,6
20120218,0,2,127,1,195,120,1,1,0
20120217,Android 2.3,0,2,0,1,1,0,0,0
20120217,Android 2.2,0,147,0,353,134,0,0,1
20120217,Android 2.1,0,42,0,106,42,0,0,1
20120217,Android 4.0.3,1,23,1,41,22,0,0,0
20120217,Android 4.0,0,23,0,31,19,0,0,0
20120217,Android 3.2,1,14,1,18,12,0,0,0
20120217,Android 3.1,1,6,1,14,5,0,0,0
20120217,Android 3.0,0,1,0,2,1,0,0,0
20120217,Android 2.3.3+,2,657,2,1155,645,2,2,2
20120217,0,1,127,0,193,120,1,0,0
20120216,Android 2.3,0,2,0,1,1,0,0,0
20120216,Android 2.2,0,147,0,353,134,1,1,0
20120216,Android 2.1,0,42,0,106,42,0,0,0
20120216,Android 4.0.3,0,22,0,40,21,0,0,0
20120216,Android 4.0,1,23,0,31,19,2,1,0
20120216,Android 3.2,1,14,1,18,12,0,0,0
20120216,Android 3.1,0,6,0,14,5,0,0,0
20120216,Android 3.0,0,1,0,2,1,0,0,0
20120216,Android 2.3.3+,1,654,1,1153,642,1,1,5
20120216,0,2,127,2,193,120,1,1,1
20120215,Android 2.3,0,2,0,1,1,0,0,0
20120215,Android 2.2,0,148,0,354,135,1,1,0
20120215,Android 2.1,0,43,0,106,43,0,0,0
20120215,Android 4.0.3,1,22,1,40,21,1,1,0
20120215,Android 4.0,0,25,0,32,21,0,0,0
20120215,Android 3.2,0,14,0,18,12,0,0,0
20120215,Android 3.1,0,6,0,13,5,0,0,0
20120215,Android 3.0,0,1,0,2,1,0,0,0
20120215,Android 2.3.3+,6,654,4,1151,642,5,4,4
20120215,0,1,128,0,191,121,0,0,1
20120214,Android 2.3,0,2,0,1,1,0,0,0
20120214,Android 2.2,1,151,1,353,138,0,0,0
20120214,Android 2.1,0,43,0,106,43,0,0,0
20120214,Android 4.0.3,0,21,0,39,21,0,0,0
20120214,Android 4.0,0,26,0,32,22,0,0,0
20120214,Android 3.2,0,13,0,17,11,0,0,0
20120214,Android 3.1,0,7,0,14,6,0,0,0
20120214,Android 3.0,0,1,0,2,1,0,0,0
20120214,Android 2.3.3+,2,655,2,1149,643,2,2,3
20120214,0,1,127,1,190,120,0,0,0
20120213,Android 2.3,0,2,0,1,1,0,0,0
20120213,Android 2.2,0,151,0,352,138,0,0,0
20120213,Android 2.1,0,43,0,106,43,0,0,0
20120213,Android 4.0.3,0,22,0,39,22,0,0,0
20120213,Android 4.0,0,26,0,32,22,0,0,1
20120213,Android 3.2,0,13,0,17,11,0,0,0
20120213,Android 3.1,0,7,0,14,6,0,0,0
