# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20111005,0,477,0,0,0,0,0,0
20111004,0,464,0,0,0,0,0,0
20111003,0,453,0,0,0,0,0,0
20111002,0,444,0,0,0,0,0,0
20111001,0,442,0,0,0,0,0,0
20110930,0,440,0,0,0,0,0,0
20110929,0,432,0,0,0,0,0,0
20110928,0,419,0,0,0,0,0,0
20110927,0,411,0,0,0,0,0,0
20110926,0,409,0,0,0,0,0,0
20110925,0,402,0,0,0,0,0,0
20110924,0,404,0,0,0,0,0,0
20110923,0,402,0,0,0,0,0,0
20110922,0,396,0,0,0,0,0,0
20110921,0,389,0,0,0,0,0,0
20110920,0,378,0,0,0,0,0,0
20110919,0,372,0,0,0,0,0,0
20110918,0,366,0,0,0,0,0,0
20110917,0,360,0,0,0,0,0,0
20110916,0,356,0,0,0,0,0,0
20110915,0,349,0,0,0,0,0,0
20110914,0,350,0,0,0,0,0,0
20110913,0,347,0,0,0,0,0,0
20110912,0,341,0,0,0,0,0,0
20110911,0,335,0,0,0,0,0,0
20110910,0,332,0,0,0,0,0,0
20110909,0,321,0,0,0,0,0,0
20110908,0,316,0,0,0,0,0,0
20110907,0,310,0,0,0,0,0,0
20110906,0,307,0,0,0,0,0,0
20110905,0,302,0,0,0,0,0,0
20110904,0,302,0,0,0,0,0,0
20110903,0,296,0,0,0,0,0,0
20110902,0,295,0,0,0,0,0,0
20110901,0,290,0,0,0,0,0,0
20110831,0,283,0,0,0,0,0,0
20110830,0,281,0,0,0,0,0,0
20110829,0,278,0,0,0,0,0,0
20110828,0,274,0,0,0,0,0,0
20110827,0,269,0,0,0,0,0,0
20110826,0,272,0,0,0,0,0,0
20110825,0,265,0,0,0,0,0,0
20110824,0,262,0,0,0,0,0,0
20110823,0,261,0,0,0,0,0,0
20110822,0,260,0,0,0,0,0,0
20110821,0,248,0,0,0,0,0,0
20110820,0,247,0,0,0,0,0,0
20110819,0,248,0,0,0,0,0,0
20110818,0,243,0,0,0,0,0,0
20110817,0,238,0,0,0,0,0,0
20110816,0,233,0,0,0,0,0,0
20110815,0,233,0,0,0,0,0,0
20110814,0,223,0,0,0,0,0,0
20110813,0,223,0,0,0,0,0,0
20110812,0,219,0,0,0,0,0,0
20110811,0,216,0,0,0,0,0,0
20110810,0,206,0,0,0,0,0,0
20110809,0,192,0,0,0,0,0,0
20110808,0,187,0,0,0,0,0,0
20110807,0,187,0,0,0,0,0,0
20110806,0,184,0,0,0,0,0,0
20110805,0,182,0,0,0,0,0,0
20110804,0,179,0,0,0,0,0,0
20110803,0,176,0,0,0,0,0,0
20110802,0,169,0,0,0,0,0,0
20110801,0,162,0,0,0,0,0,0
20110731,0,152,0,0,0,0,0,0
20110730,0,147,0,0,0,0,0,0
20110729,0,143,0,0,0,0,0,0
20110728,0,136,0,0,0,0,0,0
20110727,0,126,0,0,0,0,0,0
20110726,0,116,0,0,0,0,0,0
20110725,0,112,0,0,0,0,0,0
20110724,0,105,0,0,0,0,0,0
20110723,0,97,0,0,0,0,0,0
20110722,0,87,0,0,0,0,0,0
20110721,0,81,0,0,0,0,0,0
20110720,0,72,0,0,0,0,0,0
20110719,0,51,0,0,0,0,0,0
20110718,0,42,0,0,0,0,0,0
20110717,0,33,0,0,0,0,0,0
20110716,0,25,0,0,0,0,0,0
20110715,0,5,0,0,0,0,0,0
20110713,0,1,0,0,0,0,0,0
