# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120228,zeus,0,1,0,0,0,0,0,0
20120228,wwe10,0,0,0,1,0,0,0,0
20120228,Motorola XOOM,0,1,0,2,1,0,0,0
20120228,HTC Incredible S,0,8,0,14,8,0,0,0
20120228,HTC G2,0,14,0,26,14,0,0,1
20120228,victor,0,2,0,2,2,0,0,0
20120228,v350,0,0,0,1,0,0,0,0
20120228,unknown,0,0,0,4,0,0,0,0
20120228,univa_open-de,0,2,0,2,2,0,0,0
20120228,univa_222-01,0,1,0,1,1,0,0,0
20120228,umts_spyder,0,4,0,4,4,0,0,0
20120228,Motorola Droid,0,3,0,17,3,0,0,0
20120228,Motorola Flipout,0,2,0,5,2,0,0,0
20120228,Motorola Milestone2,0,2,0,4,2,0,0,0
20120228,Motorola Defy,0,42,0,69,39,0,0,0
20120228,Motorola XOOM,0,1,0,3,1,0,0,0
20120228,u8800,0,1,0,1,1,0,0,0
20120228,u8220,0,0,0,1,0,0,0,0
20120228,Toshiba AT100,0,1,0,1,1,0,0,0
20120228,LG Optimus One,0,5,0,13,5,0,0,0
20120228,tenderloin,0,3,0,5,2,0,0,0
20120228,LG Swift,0,2,0,5,2,0,0,0
20120228,LG Optimus 2X,0,1,0,1,1,0,0,0
20120228,Dell Streak 7,0,0,0,1,0,0,0,0
20120228,Dell Streak,0,0,0,2,0,0,0,0
20120228,Pantech Izar,0,0,0,1,0,0,0,0
20120228,HTC Shooter,0,2,0,2,2,0,0,0
20120228,HTC myTouch 3G,0,3,0,3,2,0,0,0
20120228,HTC Desire S,0,58,0,89,58,0,0,1
20120228,rk29sdk,0,1,0,1,1,0,0,0
20120228,HTC Sensation 4G,1,56,1,86,54,0,0,0
20120228,Acer Picasso,1,7,1,8,5,0,0,0
20120228,LG Pecan,0,1,0,4,1,0,0,0
20120228,HTC Nexus One,0,11,0,28,9,0,0,0
20120228,p990_EUR-xx,0,1,0,2,1,0,0,0
