# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,app_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120218,13,0,61,0,121,59,0,0,1
20120218,12,0,1,0,2,1,0,0,0
20120218,11,0,93,0,196,87,0,0,0
20120218,10,0,24,0,106,21,1,1,0
20120217,9,1,70,1,263,63,0,0,0
20120217,8,0,24,0,115,23,0,0,0
20120217,7,0,0,0,5,0,0,0,0
20120217,6,0,40,0,215,32,0,0,0
20120217,5,0,4,0,30,4,0,0,0
20120217,4,0,5,0,39,5,0,0,0
20120217,2,0,2,0,20,1,0,0,0
20120217,15,5,701,4,778,690,3,2,3
20120217,14,0,11,0,21,10,0,0,1
20120217,13,0,61,0,120,58,0,0,0
20120217,12,0,1,0,2,1,0,0,0
20120217,11,0,98,0,200,92,0,0,0
20120217,10,0,25,0,106,22,0,0,0
20120216,9,0,70,0,263,63,0,0,0
20120216,8,0,24,0,115,23,0,0,0
20120216,7,0,0,0,5,0,0,0,0
20120216,6,0,40,0,215,32,0,0,0
20120216,5,0,4,0,30,4,0,0,0
20120216,4,0,5,0,39,5,0,0,0
20120216,2,0,2,0,20,1,0,0,0
20120216,15,5,697,4,773,686,5,4,6
20120216,14,0,12,0,22,11,0,0,0
20120216,13,0,61,0,123,58,0,0,0
20120216,12,0,1,0,2,1,0,0,0
20120216,11,0,97,0,198,91,0,0,0
20120216,10,0,25,0,106,22,0,0,0
20120215,9,0,70,0,263,63,2,1,0
20120215,8,0,24,0,116,23,0,0,0
20120215,7,0,0,0,5,0,0,0,0
20120215,6,0,40,0,215,32,0,0,0
20120215,5,0,4,0,30,4,0,0,0
20120215,4,0,5,0,39,5,0,0,0
20120215,2,0,2,0,20,1,0,0,0
20120215,15,8,697,5,766,686,5,5,3
20120215,14,0,12,0,22,11,0,0,0
20120215,13,0,64,0,126,61,0,0,1
20120215,12,0,1,0,2,1,0,0,0
20120215,11,0,99,0,198,93,0,0,0
20120215,10,0,25,0,106,22,0,0,1
20120214,9,0,72,0,264,65,0,0,0
20120214,8,0,25,0,115,24,0,0,0
20120214,7,0,0,0,5,0,0,0,0
