# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120429,Android 3.1,0,8,0,10,4,0,0,1
20120429,Android 3.0,0,0,0,1,0,0,0,0
20120429,Android 2.3.3+,3,687,3,1382,668,5,5,47
20120429,0,0,0,0,5,0,0,0,0
20120428,Android 2.3,0,0,0,1,0,0,0,0
20120428,Android 2.2,0,130,0,321,119,0,0,1
20120428,Android 2.1,0,39,0,113,38,0,0,0
20120428,Android 4.0.3 - 4.0.4,2,224,0,323,218,0,0,2
20120428,Android 4.0 - 4.0.2,0,4,0,13,3,0,0,0
20120428,Android 3.2,0,30,0,42,23,0,0,0
20120428,Android 3.1,1,8,0,11,5,0,0,0
20120428,Android 3.0,0,0,0,1,0,0,0,0
20120428,Android 2.3.3+,3,694,2,1379,672,3,3,6
20120428,0,0,0,0,5,0,0,0,0
20120427,Android 2.3,0,0,0,1,0,0,0,0
20120427,Android 2.2,2,130,2,321,119,0,0,1
20120427,Android 2.1,1,39,1,113,38,1,1,1
20120427,Android 4.0.3 - 4.0.4,2,221,1,318,215,1,1,1
20120427,Android 4.0 - 4.0.2,0,6,0,15,5,0,0,0
20120427,Android 3.2,1,30,0,42,23,0,0,1
20120427,Android 3.1,0,7,0,10,4,0,0,0
20120427,Android 3.0,0,0,0,1,0,0,0,0
20120427,Android 2.3.3+,7,699,4,1381,678,2,2,3
20120427,0,0,0,0,5,0,0,0,0
20120426,Android 2.3,0,0,0,1,0,0,0,0
20120426,Android 2.2,1,128,1,319,117,0,0,0
20120426,Android 2.1,0,39,0,112,38,0,0,0
20120426,Android 4.0.3 - 4.0.4,5,206,1,303,202,1,1,4
20120426,Android 4.0 - 4.0.2,0,16,0,25,13,0,0,0
20120426,Android 3.2,0,28,0,40,21,0,0,0
20120426,Android 3.1,0,7,0,10,4,0,0,0
20120426,Android 3.0,0,1,0,2,1,0,0,0
20120426,Android 2.3.3+,3,698,3,1382,679,5,5,7
20120426,0,0,0,0,5,0,0,0,0
20120425,Android 2.3,0,0,0,1,0,0,0,0
20120425,Android 2.2,0,127,0,319,116,0,0,1
20120425,Android 2.1,1,38,1,112,37,0,0,0
20120425,Android 4.0.3 - 4.0.4,2,199,0,291,196,1,0,1
20120425,Android 4.0 - 4.0.2,1,18,0,27,15,0,0,0
20120425,Android 3.2,0,29,0,41,22,0,0,0
20120425,Android 3.1,1,7,1,10,4,0,0,0
20120425,Android 3.0,0,1,0,2,1,0,0,0
20120425,Android 2.3.3+,6,706,6,1385,685,2,2,10
20120425,0,0,0,0,6,0,0,0,0
20120424,Android 2.3,0,0,0,1,0,1,0,0
20120424,Android 2.2,1,128,1,319,117,1,1,1
20120424,Android 2.1,0,37,0,111,36,0,0,0
20120424,Android 4.0.3 - 4.0.4,3,193,3,285,190,2,2,1
20120424,Android 4.0 - 4.0.2,1,19,0,29,16,0,0,0
20120424,Android 3.2,0,29,0,42,22,0,0,1
20120424,Android 3.1,0,6,0,9,3,0,0,1
20120424,Android 3.0,0,1,0,2,1,0,0,0
20120424,Android 2.3.3+,4,707,4,1382,684,9,9,13
20120424,0,0,0,0,6,0,0,0,0
20120423,Android 2.3,0,1,0,1,1,0,0,0
20120423,Android 2.2,0,128,0,318,117,0,0,4
20120423,Android 2.1,0,37,0,111,36,0,0,1
20120423,Android 4.0.3 - 4.0.4,3,188,1,276,184,1,1,2
20120423,Android 4.0 - 4.0.2,0,19,0,29,16,0,0,0
20120423,Android 3.2,0,29,0,41,21,0,0,0
20120423,Android 3.1,0,6,0,9,3,0,0,1
20120423,Android 3.0,0,1,0,2,1,0,0,0
20120423,Android 2.3.3+,9,715,8,1385,693,6,6,15
20120423,0,0,0,0,6,0,0,0,0
20120422,Android 2.3,0,1,0,1,1,0,0,0
20120422,Android 2.2,0,128,0,318,117,1,1,4
20120422,Android 2.1,0,37,0,111,36,0,0,0
20120422,Android 4.0.3 - 4.0.4,1,185,0,272,181,1,0,5
20120422,Android 4.0 - 4.0.2,2,19,0,30,17,0,0,0
20120422,Android 3.2,0,28,0,41,20,0,0,0
20120422,Android 3.1,0,5,0,9,2,0,0,0
20120422,Android 3.0,0,1,0,2,1,0,0,0
20120422,Android 2.3.3+,6,715,6,1379,693,3,3,19
20120422,0,0,0,0,6,0,0,0,0
20120421,Android 2.3,0,1,0,1,1,0,0,0
20120421,Android 2.2,0,129,0,318,118,0,0,4
20120421,Android 2.1,0,37,0,111,36,0,0,0
20120421,Android 4.0.3 - 4.0.4,3,184,1,266,180,2,2,7
20120421,Android 4.0 - 4.0.2,0,20,0,30,18,0,0,1
20120421,Android 3.2,0,27,0,40,19,0,0,3
20120421,Android 3.1,0,5,0,9,2,0,0,0
20120421,Android 3.0,0,1,0,2,1,0,0,0
20120421,Android 2.3.3+,3,714,3,1378,691,0,0,31
20120421,0,0,0,0,6,0,0,0,0
20120420,Android 2.3,0,1,0,1,1,0,0,0
20120420,Android 2.2,1,130,1,318,119,0,0,4
20120420,Android 2.1,0,37,0,111,36,0,0,0
20120420,Android 4.0.3 - 4.0.4,3,180,1,259,174,2,2,10
20120420,Android 4.0 - 4.0.2,1,19,0,29,17,0,0,1
20120420,Android 3.2,0,27,0,40,19,0,0,1
20120420,Android 3.1,0,5,0,10,2,0,0,0
20120420,Android 3.0,0,1,0,2,1,0,0,0
20120420,Android 2.3.3+,7,717,7,1381,693,5,4,40
20120420,0,0,0,0,6,0,0,0,0
20120419,Android 2.3,0,1,0,1,1,0,0,0
20120419,Android 2.2,1,129,1,317,118,0,0,3
20120419,Android 2.1,0,37,0,111,36,2,2,3
20120419,Android 4.0.3 - 4.0.4,4,174,0,250,168,1,1,26
20120419,Android 4.0 - 4.0.2,1,18,1,28,16,0,0,2
20120419,Android 3.2,1,27,1,41,20,0,0,1
20120419,Android 3.1,0,5,0,10,2,0,0,0
20120419,Android 3.0,0,1,0,2,1,0,0,0
20120419,Android 2.3.3+,5,717,3,1380,692,3,2,49
20120419,0,0,0,0,6,0,0,0,0
20120418,Android 2.3,0,1,0,1,1,0,0,0
20120418,Android 2.2,0,127,0,317,116,0,0,12
20120418,Android 2.1,0,39,0,111,38,1,1,3
20120418,Android 4.0.3 - 4.0.4,3,162,1,232,155,0,0,64
20120418,Android 4.0 - 4.0.2,0,17,0,28,16,0,0,10
20120418,Android 3.2,0,26,0,40,19,0,0,6
20120418,Android 3.1,0,5,0,11,3,0,0,0
20120418,Android 3.0,0,1,0,2,1,0,0,0
20120418,Android 2.3.3+,9,727,7,1390,701,3,3,184
20120418,0,0,0,0,5,0,0,0,0
20120417,Android 2.3,0,1,0,1,1,0,0,0
20120417,Android 2.2,1,127,1,318,115,1,1,3
20120417,Android 2.1,0,40,0,111,39,0,0,0
20120417,Android 4.0.3 - 4.0.4,7,151,3,221,146,0,0,14
20120417,Android 4.0 - 4.0.2,1,18,1,27,15,0,0,1
20120417,Android 3.2,0,26,0,38,17,0,0,1
20120417,Android 3.1,0,5,0,11,3,0,0,0
20120417,Android 3.0,0,1,0,2,1,0,0,0
20120417,Android 2.3.3+,8,732,5,1395,707,5,5,22
20120417,0,0,0,0,4,0,0,0,0
20120416,Android 2.3,0,1,0,1,1,0,0,0
20120416,Android 2.2,0,126,0,317,114,0,0,0
20120416,Android 2.1,1,40,1,111,39,1,1,0
20120416,Android 4.0.3 - 4.0.4,4,136,1,203,131,1,1,1
20120416,Android 4.0 - 4.0.2,0,17,0,26,14,0,0,0
20120416,Android 3.2,1,26,1,40,18,0,0,0
20120416,Android 3.1,0,5,0,11,3,0,0,0
20120416,Android 3.0,0,1,0,2,1,0,0,0
20120416,Android 2.3.3+,6,739,5,1401,715,1,1,3
20120416,0,0,0,0,4,0,0,0,0
20120415,Android 2.3,0,1,0,1,1,0,0,0
20120415,Android 2.2,1,126,0,317,114,0,0,0
20120415,Android 2.1,1,40,1,110,39,1,1,0
20120415,Android 4.0.3 - 4.0.4,2,120,0,177,114,0,0,0
20120415,Android 4.0 - 4.0.2,1,18,0,28,15,0,0,0
20120415,Android 3.2,0,25,0,39,17,0,0,0
20120415,Android 3.1,0,6,0,11,4,0,0,0
20120415,Android 3.0,0,1,0,2,1,0,0,0
20120415,Android 2.3.3+,10,748,5,1420,724,2,2,1
20120415,0,0,0,0,3,0,0,0,0
20120414,Android 2.3,0,1,0,1,1,0,0,0
20120414,Android 2.2,0,125,0,319,113,0,0,0
20120414,Android 2.1,0,40,0,109,39,0,0,0
20120414,Android 4.0.3 - 4.0.4,1,116,0,173,109,0,0,0
20120414,Android 4.0 - 4.0.2,1,17,0,27,14,0,0,0
20120414,Android 3.2,1,25,0,39,17,0,0,0
20120414,Android 3.1,0,6,0,11,4,0,0,0
20120414,Android 3.0,0,1,0,2,1,0,0,0
20120414,Android 2.3.3+,6,744,5,1418,720,4,4,1
20120414,0,0,0,0,3,0,0,0,0
20120413,Android 2.3,0,1,0,1,1,0,0,0
20120413,Android 2.2,0,125,0,320,113,1,1,0
