# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120509,unknown,0,0,0,12,0,0,0,0
20120509,swisscom,0,2,0,11,2,0,0,1
20120509,o2,1,424,1,827,411,0,0,5
20120509,Xfera,0,1,0,2,1,0,0,0
20120509,Vodafone - RO,0,0,0,1,0,0,0,0
20120509,Vodafone - IT,0,1,0,1,1,0,0,0
20120509,Vodafone - GR,0,0,0,1,0,0,0,0
20120509,Vodafone - ES,0,3,0,3,3,0,0,0
20120509,Vodafone - DE,0,159,0,281,155,0,0,0
20120509,UNKNOWN,2,189,2,428,171,0,0,4
20120509,Tunisie Telecom,0,0,0,1,0,0,0,0
20120509,Telekom,3,199,2,349,193,1,1,2
20120509,Telecom Italia Mobile (TIM),0,0,0,2,0,0,0,0
20120509,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120509,TELCEL,0,0,0,2,0,0,0,0
20120509,TDC Switzerland AG,0,2,0,6,2,0,0,0
20120509,T-Mobile - US,0,1,0,2,1,0,0,0
20120509,T-Mobile - PL,0,0,0,1,0,0,0,0
20120509,T-Mobile - AT,0,0,0,4,0,0,0,0
20120509,Sonofon,0,1,0,2,1,0,0,0
20120509,Singtel,0,1,0,2,1,0,0,0
20120509,SK Telecom,0,1,0,1,1,0,0,0
20120509,SI Mobil,0,0,0,1,0,0,0,0
20120509,Roshan,0,0,0,1,0,0,0,0
20120509,Rogers Wireless,0,1,0,1,1,0,0,0
20120509,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120509,P&T Luxembourg,0,1,0,1,1,0,0,0
20120509,Orange Communications SA,0,1,0,3,1,0,0,0
20120509,Orange - FR,0,1,0,1,1,0,0,0
20120509,Orange - AT,0,3,0,5,2,0,0,0
20120509,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120509,Natrindo (Lippo Telecom),0,1,0,1,1,0,0,0
20120509,NTT DOCOMO,0,1,0,1,1,0,0,0
20120509,Movistar,0,0,0,1,0,0,0,0
20120509,MobileOne,0,0,0,2,0,0,0,0
20120509,Mobile Telesystems,0,1,0,2,1,0,0,0
20120509,Mobifone,0,0,0,1,0,0,0,0
20120509,Megafon,0,2,0,2,2,0,0,0
20120509,M-Tel GSM BG,0,1,0,1,1,0,0,0
20120509,KT,0,0,0,1,0,0,0,0
20120509,Hutchison 3G UK Ltd.,0,1,0,4,1,0,0,0
20120509,Hutchison 3G Austria,0,2,0,11,2,0,0,0
20120509,Hutchinson Max Telecom,0,0,0,1,0,0,0,0
20120509,Globul,0,0,0,1,0,0,0,0
20120509,Escotel Mobile Communications Pvt Ltd.,0,0,0,1,0,0,0,0
20120509,E-Plus,1,124,0,268,116,1,0,0
20120509,Cosmote,0,0,0,1,0,0,0,0
20120509,Cosmorom,0,1,0,0,0,0,0,0
20120509,Chungwa Telecom,0,1,0,1,1,0,0,0
20120509,China Mobile,0,2,0,4,2,0,0,0
20120509,CTMR Cel,0,1,0,2,1,0,0,0
20120509,CLARO ARGENTINA,0,0,0,1,0,0,0,0
20120509,Bouygues Telecom,0,0,0,1,0,0,0,0
20120509,Bell Mobility,0,0,0,1,0,0,0,0
20120509,Android Emulator,0,0,0,2,0,0,0,0
20120509,Amena,0,1,0,1,1,0,0,0
20120509,Aircel Ltd.,0,0,0,1,0,0,0,0
20120509,AT&T,0,0,0,1,0,0,0,0
20120509,A1,0,1,0,3,1,0,0,0
20120508,unknown,0,0,0,11,0,0,0,0
20120508,swisscom,0,3,0,14,3,0,0,0
20120508,o2,3,417,3,824,403,2,2,4
20120508,Xfera,0,1,0,2,1,0,0,0
20120508,Vodafone - RO,0,0,0,1,0,0,0,0
20120508,Vodafone - IT,0,1,0,1,1,0,0,0
20120508,Vodafone - GR,0,0,0,1,0,0,0,0
20120508,Vodafone - ES,0,1,0,1,1,0,0,0
20120508,Vodafone - DE,0,157,0,279,153,1,1,1
20120508,UNKNOWN,1,202,1,432,183,3,3,3
20120508,Tunisie Telecom,0,0,0,1,0,0,0,0
20120508,Telekom,1,203,0,352,197,0,0,0
20120508,Telecom Italia Mobile (TIM),0,0,0,2,0,0,0,0
20120508,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120508,TELCEL,0,0,0,2,0,0,0,0
20120508,TDC Switzerland AG,0,2,0,7,2,0,0,0
20120508,T-Mobile - US,0,1,0,2,1,0,0,0
20120508,T-Mobile - PL,0,0,0,1,0,0,0,0
20120508,T-Mobile - AT,0,0,0,4,0,0,0,0
20120508,Sonofon,0,1,0,2,1,0,0,0
20120508,Singtel,0,1,0,2,1,0,0,0
20120508,SK Telecom,0,1,0,1,1,0,0,0
20120508,SI Mobil,0,0,0,1,0,0,0,0
20120508,Roshan,0,0,0,1,0,0,0,0
20120508,Rogers Wireless,0,1,0,1,1,0,0,0
20120508,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120508,P&T Luxembourg,0,1,0,1,1,0,0,0
20120508,Orange Communications SA,0,1,0,3,1,0,0,0
20120508,Orange - FR,0,1,0,1,1,0,0,0
20120508,Orange - AT,0,3,0,5,2,0,0,0
20120508,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120508,Natrindo (Lippo Telecom),0,1,0,1,1,0,0,0
20120508,NTT DOCOMO,0,1,0,1,1,0,0,0
20120508,Movistar,0,0,0,1,0,0,0,0
20120508,MobileOne,0,0,0,2,0,0,0,0
20120508,Mobile Telesystems,0,1,0,2,1,0,0,0
20120508,Mobifone,0,0,0,1,0,0,0,0
20120508,Megafon,0,2,0,2,2,0,0,0
20120508,M-Tel GSM BG,0,1,0,1,1,0,0,0
20120508,KT,0,0,0,1,0,0,0,0
20120508,Hutchison 3G UK Ltd.,0,1,0,4,1,0,0,0
