# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120331
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120331,MK16i,0,2,0,3,2,0,0,0
20120331,MD_LIFETAB_P9516,0,1,0,1,1,0,0,0
20120331,LT26i,0,1,0,1,1,0,0,0
20120331,SEMC Xperia Arc S,0,2,0,6,2,0,0,0
20120331,SEMC Xperia Arc,0,4,0,16,3,0,0,0
20120331,LIFETAB_P9514,0,4,0,5,4,0,0,0
20120331,Lenovo Indigo,0,3,0,4,3,0,0,0
20120331,GT-S5830i,0,1,0,1,1,0,0,0
20120331,Samsung Galaxy Ace,0,1,0,1,1,0,0,0
20120331,GT-S5830B,0,1,0,1,1,0,0,0
20120331,Samsung Galaxy Ace,0,27,0,76,27,0,0,0
20120331,GT-S5690,0,1,0,1,1,0,0,0
20120331,Samsung Galaxy Fit,0,2,0,3,2,0,0,0
20120331,Samsung Galaxy Gio,0,2,0,3,2,0,0,0
20120331,Samsung Galaxy Mini,0,5,0,8,5,0,0,0
20120331,Samsung Galaxy Y,0,0,0,1,0,0,0,0
20120331,Samsung Galaxy Y,0,5,0,6,5,0,0,0
20120331,GT-P7511,0,0,0,1,0,0,0,0
20120331,Samsung Galaxy Tab 10.1,0,2,0,3,2,0,0,0
20120331,GT-P7501,0,1,0,1,1,0,0,0
20120331,Samsung Galaxy Tab 10.1,0,4,0,9,3,0,0,0
20120331,Samsung Galaxy Tab,0,0,0,2,0,0,0,0
20120331,Samsung Galaxy Tab,0,9,0,18,8,0,0,0
20120331,Samsung Galaxy Note,0,16,0,27,15,1,1,0
20120331,Samsung Galaxy S2,0,0,0,1,0,0,0,0
20120331,Samsung Galaxy S2,0,1,0,1,1,0,0,0
20120331,GT-I9100M,0,0,0,1,0,0,0,0
20120331,GT-I9100G,0,3,0,4,3,0,0,0
20120331,Samsung Galaxy S2,0,215,0,388,211,0,0,0
20120331,Samsung Galaxy S,0,4,0,8,4,1,1,0
20120331,Samsung Galaxy S Plus,0,47,0,74,47,0,0,0
20120331,Samsung Galaxy S,0,93,0,190,90,0,0,0
20120331,Samsung Galaxy W,0,7,0,11,7,0,0,0
20120331,Samsung Galaxy 3,0,3,0,12,3,0,0,0
20120331,Samsung Europa ,0,2,0,2,1,0,0,0
20120331,Samsung Europa ,0,3,0,9,3,0,0,0
20120331,GT-B7510,0,0,0,1,0,0,0,0
20120331,GT-B5510,0,1,0,1,1,0,0,0
20120331,SEMC Xperia X8,0,4,0,11,4,0,0,0
20120331,SEMC Xperia X10 Mini,0,1,0,3,1,0,0,0
20120331,A70S,0,0,0,1,0,0,0,0
20120331,A43,0,0,0,1,0,0,0,0
20120331,A101IT,0,0,0,2,0,0,0,0
20120330,zeus,0,1,0,0,0,0,0,0
20120330,wwe10,0,0,0,1,0,0,0,0
20120330,Motorola XOOM,0,1,0,2,1,0,0,0
20120330,HTC Incredible S,0,8,0,15,8,0,0,0
20120330,HTC G2,0,17,0,27,16,0,0,0
