# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120706,es_ES,0,6,0,13,6,0,0,0
20120706,es_DE,0,2,0,2,2,0,0,0
20120706,en_US,1,77,0,141,73,0,0,0
20120706,en_SG,0,0,0,1,0,0,0,0
20120706,en_RU,0,0,0,1,0,0,0,0
20120706,en_RO,0,1,0,2,1,0,0,0
20120706,en_NZ,0,0,0,1,0,0,0,0
20120706,en_IN,0,2,0,8,2,0,0,0
20120706,en_IE,0,2,0,3,2,0,0,0
20120706,en_HK,0,1,0,2,1,0,0,0
20120706,en_GB,0,24,0,65,23,0,0,0
20120706,en_FR,0,0,0,1,0,0,0,0
20120706,en_ES,0,0,0,1,0,0,0,0
20120706,en_DK,0,0,0,1,0,0,0,0
20120706,en_DE,0,15,0,34,14,0,0,0
20120706,en_CA,0,1,0,3,1,0,0,0
20120706,en_AU,0,3,0,4,3,0,0,0
20120706,en_AT,0,1,0,4,1,0,0,0
20120706,el_GR,0,1,0,6,1,0,0,0
20120706,de_US,0,1,0,0,0,0,0,0
20120706,de_NL,0,0,0,1,0,0,0,0
20120706,de_LU,0,2,0,6,2,0,0,0
20120706,de_LI,0,0,0,1,0,0,0,0
20120706,de_IT,0,3,0,6,3,0,0,0
20120706,de_GB,0,2,0,2,2,0,0,0
20120706,de_FR,0,4,0,5,4,0,0,0
20120706,de_ES,0,2,0,2,2,0,0,0
20120706,de_DE,11,951,5,1967,897,2,2,1
20120706,de_CH,0,8,0,23,8,0,0,0
20120706,de_AT,0,12,0,29,11,0,0,0
20120706,de,0,0,0,2,0,0,0,0
20120706,da_DK,0,1,0,1,1,0,0,0
20120705,zh_TW,0,2,0,2,2,0,0,0
20120705,zh_CN,0,6,0,14,6,0,0,0
20120705,unknown,0,0,0,59,0,0,0,0
20120705,tr_TR,0,1,0,2,1,0,0,0
20120705,tr_DE,0,1,0,1,1,0,0,0
20120705,sv_SE,0,3,0,5,3,0,0,0
20120705,sl_SI,0,0,0,2,0,0,0,0
20120705,ru_UA,0,0,0,1,0,0,0,0
20120705,ru_RU,0,4,0,9,4,0,0,0
20120705,ru_DE,0,1,0,1,1,0,0,0
20120705,pt_PT,0,2,0,4,2,0,0,0
20120705,pt_BR,0,6,0,7,6,0,0,0
20120705,pl_PL,0,1,0,4,1,0,0,0
20120705,no_NO,0,0,0,1,0,0,0,0
20120705,nb_NO,0,0,0,2,0,0,0,0
20120705,ld_US,0,1,0,1,1,0,0,0
20120705,ko_KR,0,2,0,5,2,0,0,0
20120705,ja_JP,0,1,0,2,1,0,0,0
20120705,it_IT,0,2,0,4,2,0,0,0
20120705,it_DE,0,0,0,2,0,0,0,0
20120705,hu_HU,0,3,0,2,2,0,0,0
20120705,fr_IT,0,1,0,1,1,0,0,0
20120705,fr_FR,0,2,0,5,2,0,0,0
20120705,es_US,0,2,0,2,1,0,0,0
20120705,es_MX,0,0,0,1,0,0,0,0
20120705,es_IE,0,0,0,1,0,0,0,0
20120705,es_ES,0,6,0,14,6,0,0,0
20120705,es_DE,0,2,0,2,2,0,0,0
20120705,en_US,1,77,1,140,73,0,0,0
20120705,en_SG,0,0,0,1,0,0,0,0
20120705,en_RU,0,0,0,1,0,0,0,0
20120705,en_RO,0,1,0,2,1,0,0,0
20120705,en_NZ,0,0,0,1,0,0,0,0
20120705,en_IN,0,2,0,8,2,0,0,0
20120705,en_IE,0,2,0,3,2,0,0,0
20120705,en_HK,0,1,0,2,1,0,0,0
20120705,en_GB,0,24,0,64,23,0,0,0
20120705,en_FR,0,0,0,1,0,0,0,0
20120705,en_ES,0,0,0,1,0,0,0,0
20120705,en_DK,0,0,0,1,0,0,0,0
20120705,en_DE,0,15,0,34,14,0,0,0
20120705,en_CA,0,1,0,3,1,0,0,0
20120705,en_AU,0,3,0,4,3,0,0,0
20120705,en_AT,0,1,0,4,1,0,0,0
20120705,el_GR,0,1,0,6,1,0,0,0
20120705,de_US,0,1,0,0,0,0,0,0
20120705,de_NL,0,0,0,1,0,0,0,0
20120705,de_LU,0,2,0,6,2,0,0,0
20120705,de_LI,0,0,0,1,0,0,0,0
20120705,de_IT,0,3,0,6,3,0,0,0
20120705,de_GB,0,2,0,2,2,0,0,0
20120705,de_FR,0,4,0,5,4,0,0,0
20120705,de_ES,0,2,0,2,2,0,0,0
20120705,de_DE,4,946,3,1962,894,4,4,0
20120705,de_CH,0,8,0,23,8,0,0,0
20120705,de_AT,0,12,0,29,11,0,0,0
