# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120708,Garmin-Asus Nuvifone (a50),0,0,0,1,0,0,0,0
20120708,a3,0,1,0,0,0,0,0,0
20120708,Acer Liquid (a1),0,1,0,1,1,0,0,0
20120708,Samsung Galaxy Player (YP-G1),0,0,0,1,0,0,0,0
20120708,XT502,0,0,0,1,0,0,0,0
20120708,SEMC Xperia X10 (X10i),0,7,0,20,7,0,0,0
20120708,SEMC Xperia Live (WT19i),0,1,0,1,1,0,0,0
20120708,W851,0,1,0,1,1,0,0,0
20120708,SEMC Xperia X10 Mini Pro (U20i),0,8,0,25,8,0,0,0
20120708,Asus EeePad Transformer TF300 (TF300TG),0,1,0,1,1,0,0,0
20120708,Asus EeePad Transformer TF300 (TF300T),0,1,0,2,1,0,0,0
20120708,Asus EeePad Transformer TF201 (TF201),0,6,0,8,5,0,0,0
20120708,Asus EeePad Transformer TF101 (TF101G),0,2,0,1,1,0,0,0
20120708,Asus EeePad Transformer TF101 (TF101),0,10,0,10,9,0,0,0
20120708,SEMC Xperia Ray (ST18i),0,3,0,6,3,0,0,0
20120708,ST17i,0,2,0,4,2,0,0,0
20120708,SEMC Xperia Mini (ST15i),0,0,0,1,0,0,0,0
20120708,Asus EeePad Slider SL101 (SL101),0,1,0,2,1,0,0,0
20120708,SEMC Xperia Mini Pro (SK17i),0,3,0,5,3,0,0,0
20120708,Samsung Galaxy Tab 10.1 (SHW-M380W),0,1,0,2,1,0,0,0
20120708,Sharp Lynx 3D SH-03C (SH03C),0,1,0,2,1,0,0,0
20120708,SGH-I9000,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy S (SGH-I897),0,1,0,1,1,0,0,0
20120708,SEMC Xperia Play (R800i),0,2,0,8,2,0,0,0
20120708,SEMC Xperia Neo (MT15i),0,6,0,14,5,0,0,0
20120708,SEMC Xperia Neo V (MT11i),0,1,0,4,1,0,0,0
20120708,MK16i,0,3,0,3,2,0,0,0
20120708,MD_LIFETAB_P9516,0,3,0,2,1,0,0,0
20120708,SEMC Xperia S (LT26i),0,3,0,3,3,0,0,0
20120708,SEMC Xperia Arc S (LT18i),0,3,0,10,3,0,0,0
20120708,SEMC Xperia Arc (LT15i),0,4,0,20,4,0,0,0
20120708,LIFETAB_P9514,0,3,0,5,3,0,0,0
20120708,Lenovo Indigo (Indigo),0,4,0,4,3,0,0,0
20120708,GT-S7500,0,1,0,1,1,0,0,0
20120708,Samsung Galaxy Y Duos (GT-S6102),0,1,0,1,1,0,0,0
20120708,Samsung Galaxy Ace (GT-S5830i),0,2,0,9,2,0,0,0
20120708,GT-S5830B,0,1,0,1,1,0,0,0
20120708,Samsung Galaxy Ace (GT-S5830),0,25,0,85,24,0,0,0
20120708,GT-S5690,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy Fit (GT-S5670),0,2,0,4,2,0,0,0
20120708,Samsung Galaxy Gio (GT-S5660),0,2,0,3,1,0,0,0
20120708,Samsung Galaxy Mini (GT-S5570),0,3,0,8,3,0,0,0
20120708,Samsung Galaxy Y (GT-S5363),0,3,0,5,3,0,0,0
20120708,Samsung Galaxy Y (GT-S5360),0,5,0,7,5,0,0,1
20120708,GT-S5300,0,1,0,1,1,0,0,0
20120708,GT-P7511,0,1,0,2,1,0,0,0
20120708,Samsung Galaxy Tab 10.1 (GT-P7510),0,2,0,3,2,0,0,0
20120708,GT-P7501,0,4,0,6,4,0,0,0
20120708,Samsung Galaxy Tab 10.1 (GT-P7500),0,5,0,8,3,0,0,0
20120708,GT-P6800,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy Tab 7.0 Plus (GT-P6210),0,0,0,1,0,0,0,0
20120708,Samsung Galaxy Tab (GT-P1010),0,1,0,3,1,0,0,0
20120708,Samsung Galaxy Tab (GT-P1000),0,6,0,18,6,0,0,0
20120708,Samsung Galaxy Note (GT-N7000),0,21,0,42,17,2,2,0
20120708,GT-I9300,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy S2 (GT-I9103),0,0,0,2,0,0,0,0
20120708,Samsung Galaxy S2 (GT-I9100P),0,0,0,1,0,0,0,0
20120708,GT-I9100M,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy S2 (GT-I9100G),0,16,0,21,15,0,0,0
20120708,Samsung Galaxy S2 (GT-I9100),0,226,0,442,218,0,0,0
20120708,Samsung Galaxy S (GT-I9003),0,4,0,10,4,0,0,0
20120708,Samsung Galaxy S Plus (GT-I9001),0,57,0,94,55,0,0,0
20120708,Samsung Galaxy S (GT-I9000B),0,1,0,1,1,0,0,0
20120708,Samsung Galaxy S (GT-I9000),0,89,0,201,84,0,0,0
20120708,Samsung Galaxy W (GT-I8150),0,11,0,15,11,0,0,0
20120708,Samsung Galaxy 3 (GT-I5800),0,2,0,12,2,0,0,0
20120708,Samsung Europa  (GT-I5510),0,1,0,2,0,0,0,0
20120708,Samsung Europa  (GT-I5500),0,2,0,9,2,0,0,0
20120708,GT-B7510,0,0,0,1,0,0,0,0
20120708,GT-B5510,0,1,0,1,1,0,0,0
20120708,SEMC Xperia X8 (E15i),0,5,0,13,5,0,0,0
20120708,SEMC Xperia X10 Mini (E10i),0,2,0,4,2,0,0,0
20120708,AN8G2,0,1,0,1,1,0,0,0
20120708,A70S,0,0,0,1,0,0,0,0
20120708,A43,0,0,0,1,0,0,0,0
20120708,A1_07,0,1,0,1,1,0,0,0
20120708,A101IT,0,0,0,2,0,0,0,0
20120707,Motorola XOOM (wifi_hubble),0,2,0,3,2,0,0,0
20120707,HTC Incredible 2 (vivow),0,1,0,0,0,0,0,0
20120707,HTC Incredible S (vivo),0,8,0,18,8,0,0,0
20120707,HTC G2 (vision),0,22,0,37,21,1,1,0
20120707,HTC One S (ville),0,9,0,13,9,0,0,0
20120707,victor,0,1,0,2,1,0,0,0
20120707,v350,0,0,0,1,0,0,0,0
20120707,unknown,0,0,0,59,0,0,0,0
20120707,univa_open-de,0,1,0,2,1,0,0,0
20120707,univa_222-01,0,0,0,1,0,0,0,0
