# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120705,JP,0,0,0,1,0,0,0,0
20120705,IT,0,3,0,6,3,0,0,0
20120705,IS,0,0,0,1,0,0,0,0
20120705,IN,0,0,0,6,0,0,0,0
20120705,HU,0,1,0,1,1,0,0,0
20120705,GR,0,0,0,2,0,0,0,0
20120705,GB,0,1,0,5,1,0,0,0
20120705,FR,0,1,0,3,1,0,0,0
20120705,ES,0,2,0,6,2,0,0,0
20120705,DK,0,0,0,1,0,0,0,0
20120705,DE,5,1116,4,2264,1057,4,4,0
20120705,CN,0,2,0,6,2,0,0,0
20120705,CH,0,5,0,28,5,0,0,0
20120705,CA,0,1,0,2,1,0,0,0
20120705,BR,0,1,0,2,1,0,0,0
20120705,BG,0,1,0,2,1,0,0,0
20120705,BA,0,0,0,1,0,0,0,0
20120705,AU,0,1,0,2,1,0,0,0
20120705,AT,0,8,0,28,7,0,0,0
20120705,AR,0,0,0,1,0,0,0,0
20120705,AF,0,0,0,1,0,0,0,0
20120704,unknown,0,0,0,59,0,0,0,0
20120704,US,0,1,0,11,0,0,0,0
20120704,UA,0,0,0,1,0,0,0,0
20120704,TW,0,2,0,2,2,0,0,0
20120704,TR,0,0,0,2,0,0,0,0
20120704,TN,0,0,0,1,0,0,0,0
20120704,SI,0,1,0,2,1,0,0,0
20120704,SG,0,2,0,5,2,0,0,0
20120704,SE,0,1,0,2,1,0,0,0
20120704,RU,0,2,0,3,2,0,0,0
20120704,RO,0,1,0,1,0,0,0,0
20120704,PT,0,0,0,1,0,0,0,0
20120704,PR,0,1,0,1,1,0,0,0
20120704,PL,0,1,0,4,1,0,0,0
20120704,MX,1,2,0,3,1,0,0,0
20120704,LU,0,1,0,1,1,0,0,0
20120704,KR,0,1,0,4,1,0,0,0
20120704,JP,0,0,0,1,0,0,0,0
20120704,IT,0,2,0,6,2,0,0,0
20120704,IS,0,0,0,1,0,0,0,0
20120704,IN,0,0,0,6,0,0,0,0
20120704,HU,0,1,0,1,1,0,0,0
20120704,GR,0,0,0,2,0,0,0,0
20120704,GB,0,1,0,5,1,0,0,0
20120704,FR,0,1,0,3,1,0,0,0
20120704,ES,0,2,0,6,2,0,0,0
20120704,DK,0,0,0,1,0,0,0,0
20120704,DE,3,1112,3,2258,1054,2,2,2
20120704,CN,0,2,0,6,2,0,0,0
20120704,CH,1,5,1,28,5,0,0,0
20120704,CA,0,1,0,2,1,0,0,0
20120704,BR,0,1,0,2,1,0,0,0
20120704,BG,0,1,0,2,1,0,0,0
20120704,BA,0,0,0,1,0,0,0,0
20120704,AU,0,1,0,2,1,0,0,0
20120704,AT,1,10,1,30,9,0,0,0
20120704,AR,0,0,0,1,0,0,0,0
20120704,AF,0,0,0,1,0,0,0,0
20120703,unknown,0,0,0,59,0,0,0,0
20120703,US,0,0,0,11,0,0,0,0
20120703,UA,0,0,0,1,0,0,0,0
20120703,TW,0,2,0,2,2,0,0,0
20120703,TR,0,0,0,2,0,0,0,0
20120703,TN,0,0,0,1,0,0,0,0
20120703,SI,0,1,0,2,1,0,0,0
20120703,SG,0,2,0,5,2,0,0,0
20120703,SE,0,1,0,2,1,0,0,0
20120703,RU,0,2,0,3,2,0,0,0
20120703,RO,0,1,0,1,0,0,0,0
20120703,PT,0,0,0,1,0,0,0,0
20120703,PR,0,1,0,1,1,0,0,0
20120703,PL,0,1,0,4,1,0,0,0
20120703,MX,1,1,0,3,0,0,0,0
20120703,LU,0,1,0,1,1,0,0,0
20120703,KR,0,1,0,4,1,0,0,0
20120703,JP,0,0,0,1,0,0,0,0
20120703,IT,0,3,0,7,3,0,0,0
20120703,IS,0,0,0,1,0,0,0,0
20120703,IN,0,0,0,6,0,0,0,0
20120703,HU,0,1,0,1,1,0,0,0
20120703,GR,0,0,0,2,0,0,0,0
20120703,GB,0,1,0,5,1,0,0,0
20120703,FR,0,1,0,3,1,0,0,0
20120703,ES,0,2,0,6,2,0,0,0
20120703,DK,0,0,0,1,0,0,0,0
20120703,DE,6,1110,1,2254,1051,1,1,0
20120703,CN,0,2,0,6,2,0,0,0
20120703,CH,0,4,0,27,4,0,0,0
20120703,CA,0,1,0,2,1,0,0,0
20120703,BR,0,1,0,2,1,0,0,0
20120703,BG,0,1,0,2,1,0,0,0
20120703,BA,0,0,0,1,0,0,0,0
20120703,AU,0,1,0,2,1,0,0,0
20120703,AT,0,8,0,28,7,0,0,0
20120703,AR,0,0,0,1,0,0,0,0
20120703,AF,0,0,0,1,0,0,0,0
20120702,unknown,0,0,0,59,0,0,0,0
20120702,US,0,0,0,10,0,0,0,0
20120702,UA,0,0,0,1,0,0,0,0
20120702,TW,0,2,0,2,2,0,0,0
20120702,TR,0,0,0,2,0,0,0,0
20120702,TN,0,0,0,1,0,0,0,0
20120702,SI,0,1,0,2,1,0,0,0
20120702,SG,0,2,0,5,2,0,0,0
20120702,SE,0,1,0,2,1,0,0,0
20120702,RU,0,2,0,4,2,0,0,0
20120702,RO,0,1,0,1,0,0,0,0
20120702,PT,0,0,0,1,0,0,0,0
20120702,PR,0,1,0,1,1,0,0,0
20120702,PL,0,1,0,3,1,0,0,0
20120702,MX,0,1,0,3,1,0,0,0
20120702,LU,0,1,0,1,1,0,0,0
20120702,KR,0,1,0,3,1,0,0,0
20120702,JP,0,0,0,1,0,0,0,0
20120702,IT,0,3,0,6,3,0,0,0
20120702,IS,0,0,0,1,0,0,0,0
20120702,IN,0,0,0,6,0,0,0,0
20120702,HU,0,1,0,1,1,0,0,0
20120702,GR,0,0,0,2,0,0,0,0
20120702,GB,0,1,0,5,1,0,0,0
20120702,FR,0,1,0,3,1,0,0,0
20120702,ES,0,2,0,5,2,0,0,0
20120702,DK,0,0,0,1,0,0,0,0
20120702,DE,9,1111,3,2257,1054,2,2,0
20120702,CN,0,2,0,6,2,0,0,0
20120702,CH,0,4,0,27,4,0,0,0
20120702,CA,0,1,0,2,1,0,0,0
20120702,BR,0,1,0,2,1,0,0,0
20120702,BG,0,1,0,2,1,0,0,0
20120702,BA,0,0,0,1,0,0,0,0
20120702,AU,0,1,0,2,1,0,0,0
20120702,AT,0,8,0,28,7,0,0,0
20120702,AR,0,0,0,1,0,0,0,0
20120702,AF,0,0,0,1,0,0,0,0
20120701,unknown,0,0,0,59,0,0,0,0
20120701,US,0,0,0,10,0,0,0,0
20120701,UA,0,0,0,1,0,0,0,0
20120701,TW,0,2,0,2,2,0,0,0
20120701,TR,0,0,0,2,0,0,0,0
20120701,TN,0,0,0,1,0,0,0,0
20120701,SI,0,1,0,3,1,0,0,0
20120701,SG,0,1,0,4,1,0,0,0
20120701,SE,0,1,0,2,1,0,0,0
20120701,RU,0,2,0,4,2,0,0,0
20120701,RO,0,1,0,1,0,0,0,0
20120701,PT,0,0,0,1,0,0,0,0
20120701,PR,0,1,0,1,1,0,0,0
20120701,PL,0,1,0,3,1,0,0,0
20120701,MX,0,1,0,3,1,0,0,0
20120701,LU,0,1,0,1,1,0,0,0
20120701,KR,0,1,0,3,1,0,0,0
20120701,JP,0,1,0,2,1,0,0,0
20120701,IT,0,3,0,6,3,0,0,0
20120701,IS,0,0,0,1,0,0,0,0
20120701,IN,0,0,0,6,0,0,0,0
20120701,HU,0,1,0,1,1,0,0,0
20120701,GR,0,0,0,3,0,0,0,0
20120701,GB,0,1,0,5,1,0,0,0
20120701,FR,0,1,0,3,1,0,0,0
20120701,ES,0,1,0,4,1,0,0,0
20120701,DK,0,0,0,1,0,0,0,0
20120701,DE,2,1110,1,2252,1052,1,1,2
20120701,CN,0,2,0,6,2,0,0,0
20120701,CH,0,4,0,27,4,0,0,0
20120701,CA,0,1,0,2,1,0,0,0
20120701,BR,0,1,0,2,1,0,0,0
20120701,BG,0,1,0,2,1,0,0,0
20120701,BA,0,0,0,1,0,0,0,0
20120701,AU,0,1,0,2,1,0,0,0
20120701,AT,0,9,0,29,8,0,0,0
20120701,AR,0,0,0,1,0,0,0,0
20120701,AF,0,0,0,1,0,0,0,0
20120630,unknown,0,0,0,58,0,0,0,0
20120630,US,0,0,0,10,0,0,0,0
20120630,UA,0,0,0,1,0,0,0,0
20120630,TW,0,2,0,2,2,0,0,0
20120630,TR,0,0,0,2,0,0,0,0
20120630,TN,0,0,0,1,0,0,0,0
20120630,SI,0,1,0,3,1,0,0,0
20120630,SG,0,1,0,4,1,0,0,0
20120630,SE,0,1,0,2,1,0,0,0
20120630,RU,0,2,0,4,2,0,0,0
20120630,RO,0,1,0,1,0,0,0,0
20120630,PT,0,0,0,1,0,0,0,0
20120630,PR,0,1,0,1,1,0,0,0
20120630,PL,0,1,0,3,1,0,0,0
20120630,MX,0,1,0,3,1,0,0,0
20120630,LU,0,1,0,1,1,0,0,0
20120630,KR,0,1,0,3,1,0,0,0
20120630,JP,0,0,0,1,0,0,0,0
20120630,IT,0,3,0,6,3,0,0,0
20120630,IS,0,0,0,1,0,0,0,0
20120630,IN,0,1,0,7,1,0,0,0
20120630,HU,0,1,0,1,1,0,0,0
20120630,GR,0,0,0,3,0,0,0,0
20120630,GB,0,1,0,5,1,0,0,0
20120630,FR,0,1,0,3,1,1,1,0
20120630,ES,0,1,0,5,1,0,0,0
20120630,DK,0,0,0,1,0,0,0,0
20120630,DE,6,1111,2,2250,1052,3,2,0
20120630,CN,0,2,0,6,2,0,0,0
20120630,CH,0,4,0,27,4,0,0,0
20120630,CA,0,1,0,2,1,0,0,0
20120630,BR,0,1,0,2,1,0,0,0
20120630,BG,0,1,0,2,1,0,0,0
20120630,BA,0,0,0,1,0,0,0,0
20120630,AU,0,1,0,2,1,0,0,0
20120630,AT,0,9,0,30,8,0,0,0
20120630,AR,0,0,0,1,0,0,0,0
20120630,AF,0,0,0,1,0,0,0,0
20120629,unknown,0,0,0,57,0,0,0,0
20120629,US,0,1,0,9,1,0,0,0
20120629,UA,0,0,0,1,0,0,0,0
20120629,TW,0,1,0,2,1,1,1,0
20120629,TR,0,0,0,2,0,0,0,0
20120629,TN,0,0,0,1,0,0,0,0
20120629,TH,0,1,0,1,1,0,0,0
20120629,SI,0,1,0,3,1,0,0,0
20120629,SG,0,1,0,4,1,0,0,0
20120629,SE,0,1,0,2,1,0,0,0
20120629,RU,0,3,0,5,3,0,0,0
20120629,RO,0,1,0,1,0,0,0,0
20120629,PT,0,0,0,1,0,0,0,0
20120629,PR,0,1,0,1,1,0,0,0
20120629,PL,0,1,0,3,1,0,0,0
20120629,MX,0,1,0,3,1,0,0,0
20120629,LU,0,1,0,1,1,0,0,0
20120629,KR,0,1,0,3,1,0,0,0
20120629,JP,0,0,0,1,0,0,0,0
20120629,IT,0,2,0,5,2,0,0,0
20120629,IS,0,0,0,1,0,0,0,0
20120629,IN,0,1,0,7,1,0,0,0
20120629,HU,0,1,0,1,1,0,0,0
20120629,GR,0,0,0,3,0,0,0,0
20120629,GB,0,2,0,6,2,0,0,0
20120629,FR,0,2,0,3,2,0,0,0
20120629,ES,0,2,0,5,2,0,0,0
20120629,DK,0,0,0,1,0,0,0,0
20120629,DE,9,1109,7,2248,1052,2,2,2
20120629,CN,0,2,0,6,2,0,0,0
20120629,CH,0,4,0,27,4,0,0,0
20120629,CA,0,1,0,2,1,0,0,0
20120629,BR,0,1,0,2,1,0,0,0
20120629,BG,0,1,0,2,1,0,0,0
20120629,BA,0,0,0,1,0,0,0,0
20120629,AU,0,1,0,2,1,0,0,0
20120629,AT,0,9,0,30,8,0,0,0
20120629,AR,0,0,0,1,0,0,0,0
20120629,AF,0,0,0,1,0,0,0,0
20120628,unknown,0,0,0,55,0,0,0,0
20120628,US,0,1,0,9,1,0,0,0
20120628,UA,0,0,0,1,0,0,0,0
20120628,TW,0,2,0,2,2,0,0,0
20120628,TR,0,0,0,2,0,0,0,0
20120628,TN,0,0,0,1,0,0,0,0
20120628,TH,0,1,0,1,1,0,0,0
20120628,SI,0,1,0,3,1,0,0,0
20120628,SG,0,1,0,4,1,0,0,0
20120628,SE,0,1,0,2,1,0,0,0
20120628,RU,0,3,0,5,3,0,0,0
20120628,RO,0,1,0,1,0,0,0,0
20120628,PT,0,0,0,1,0,0,0,0
20120628,PR,0,1,0,1,1,0,0,0
20120628,PL,0,1,0,3,1,0,0,0
20120628,MX,0,1,0,3,1,0,0,0
20120628,LU,0,1,0,1,1,0,0,0
20120628,KR,0,1,0,3,1,0,0,0
20120628,JP,0,0,0,1,0,0,0,0
20120628,IT,0,2,0,6,2,0,0,0
20120628,IS,0,0,0,1,0,0,0,0
20120628,IN,0,1,0,7,1,0,0,0
20120628,HU,0,1,0,1,1,0,0,0
20120628,GR,0,0,0,3,0,0,0,0
20120628,GB,0,2,0,6,2,0,0,0
20120628,FR,0,2,0,3,2,0,0,0
20120628,ES,0,2,0,5,2,0,0,0
20120628,DK,0,0,0,1,0,0,0,0
20120628,DE,10,1105,6,2244,1047,3,1,1
20120628,CN,0,2,0,6,2,0,0,0
20120628,CH,0,4,0,27,4,0,0,0
20120628,CA,0,1,0,2,1,0,0,0
20120628,BR,0,1,0,2,1,0,0,0
20120628,BG,0,1,0,2,1,0,0,0
20120628,BA,0,0,0,1,0,1,1,0
20120628,AU,0,1,0,2,1,0,0,0
20120628,AT,0,9,0,28,8,0,0,0
20120628,AR,0,0,0,1,0,0,0,0
20120628,AF,0,0,0,1,0,0,0,0
20120627,unknown,0,0,0,54,0,0,0,0
20120627,US,0,1,0,9,1,0,0,0
20120627,UA,0,1,0,2,1,0,0,0
20120627,TW,0,1,0,2,1,1,1,0
